Date,Entreprise,Indice,Valeur,Volume
2000-11-20,STMicrofibres,STM,19.860787068270586,0
2000-11-20,Saint-Gobelin,SAG,18.11646270751953,579400
2000-11-20,Sanufo,SAN,27.600622177124023,1278379
2000-11-20,Schneider Electric,SCH,17.988317489624023,1102972
2000-11-20,Société générale,SOG,21.836946487426758,1180391
2000-11-20,True Office,TRU,3.52500390197334,0
2000-11-20,Tréneau,TRE,28.094036102294922,396455
2000-11-20,URW,URW,6.333528386182008,0
2000-11-20,Vélo là,VEL,17.199174880981445,733273
2000-11-21,Airtaxi,AIR,15.373302093966378,0
2000-11-21,ArcelOrbital,ARC,24.78623511613739,0
2000-11-21,Atlantis,ATL,12.168734794252504,0
2000-11-21,Bearing,BEA,90.35289764404297,152738
2000-11-21,CURCUMA,CUR,28.292903900146484,1081050
2000-11-21,Capverseau,CAP,108.77278900146484,342773
2000-11-21,Cil Exotica,CIL,10.884946823120117,2015777
2000-11-21,Croisement,CRO,33.126583099365234,2411428
2000-11-21,Dantwo,DAN,19.311180114746094,2859618
2000-11-21,Default Systèmes,DEF,6.480799674987793,1232450
2000-11-21,Desaxa,DES,6.7903900146484375,15947221
2000-11-21,Eau gazeuse,EGA,13.7835054397583,2411996
2000-11-21,Edenbread,EDE,7.299309326791231,0
2000-11-21,Eurobefore,AUB,5.033956529476009,0
2000-11-21,Eurofins Analyse,EUA,2.4083235263824463,201210
2000-11-21,FDP,FDP,12.00040340423584,6232164
2000-11-21,Herpès Local,HER,40.89921951293945,51213
2000-11-21,Kenji,KEN,10.136707305908203,3299000
2000-11-21,L'Ofalso,LOF,62.82335662841797,734550
2000-11-21,LVMHASH,LVM,50.775211334228516,695039
2000-11-21,Leonard,LEO,5.452242851257324,495651
2000-11-21,Lepetit,LEP,9.614689240849412,0
2000-11-21,Mandarine,MAN,25.086177825927734,3146790
2000-11-21,Micheline,MIC,3.716170310974121,1160921
2000-11-21,Milesios,MIL,28.864919662475586,189575
2000-11-21,Padaccor,PAD,4.567393779754639,631472
2000-11-21,Paindépice Groupe,PAI,19.680763244628906,314366
2000-11-21,Paris-Barque,PAR,13.6617431640625,6708033
2000-11-21,Pinot-Pinard,PP,13.17711353302002,98918
2000-11-21,Pouic,POU,14.292155265808105,684080
2000-11-21,Prêt Industriel,PRE,-51.538590313338204,0
2000-11-21,STMicrofibres,STM,20.023978635353163,0
2000-11-21,Saint-Gobelin,SAG,18.353591918945312,670156
2000-11-21,Sanufo,SAN,27.600622177124023,1421346
2000-11-21,Schneider Electric,SCH,17.354578018188477,1128931
2000-11-21,Société générale,SOG,22.14547348022461,1180802
2000-11-21,True Office,TRU,3.553968056755214,0
2000-11-21,Tréneau,TRE,29.8256778717041,910046
2000-11-21,URW,URW,6.3855695474386165,0
2000-11-21,Vélo là,VEL,17.144969940185547,886987
2000-11-22,Airtaxi,AIR,15.069455866604446,0
2000-11-22,ArcelOrbital,ARC,24.296346607831815,0
2000-11-22,Atlantis,ATL,11.928225361965172,0
2000-11-22,Bearing,BEA,89.21636962890625,140874
2000-11-22,CURCUMA,CUR,26.831451416015625,1348000
2000-11-22,Capverseau,CAP,102.21661376953125,1020410
2000-11-22,Cil Exotica,CIL,10.62731647491455,2326034
2000-11-22,Croisement,CRO,33.126583099365234,1659654
2000-11-22,Dantwo,DAN,17.28410530090332,9878548
2000-11-22,Default Systèmes,DEF,6.374151229858398,1899950
2000-11-22,Desaxa,DES,6.6216864585876465,12900354
2000-11-22,Eau gazeuse,EGA,13.661859512329102,1481474
2000-11-22,Edenbread,EDE,7.15504184360922,0
2000-11-22,Eurobefore,AUB,4.934462699794124,0
2000-11-22,Eurofins Analyse,EUA,2.1535184383392334,1420360
2000-11-22,FDP,FDP,11.871674537658691,9618884
2000-11-22,Herpès Local,HER,40.31145095825195,66891
2000-11-22,Kenji,KEN,10.286591529846191,3077500
2000-11-22,L'Ofalso,LOF,60.567623138427734,1363794
2000-11-22,LVMHASH,LVM,50.46177291870117,1534069
2000-11-22,Leonard,LEO,5.476259708404541,1206782
2000-11-22,Lepetit,LEP,9.424659341272013,0
2000-11-22,Mandarine,MAN,24.297765731811523,2354049
2000-11-22,Micheline,MIC,3.6938037872314453,768844
2000-11-22,Milesios,MIL,29.036399841308594,195547
2000-11-22,Padaccor,PAD,4.6093430519104,534933
2000-11-22,Paindépice Groupe,PAI,19.675209045410156,524385
2000-11-22,Paris-Barque,PAR,13.083861351013184,10282028
2000-11-22,Pinot-Pinard,PP,13.14414119720459,169929
2000-11-22,Pouic,POU,14.109258651733398,789475
2000-11-22,Prêt Industriel,PRE,-50.51995383988946,0
2000-11-22,STMicrofibres,STM,19.628213930546128,0
